name,category,location,description,phone,email,website,rating,price_range
"Goa Beach Weddings","Venues","North Goa","Beautiful beachfront wedding venue with stunning sunset views","9876543210","info@goabeachweddings.com","https://goabeachweddings.com",4.8,"200000-500000"
"Spice Garden Caterers","Caterers","Panaji","Authentic Goan and Indian cuisine for weddings","9876543211","contact@spicegarden.com","https://spicegarden.com",4.6,"50000-150000"
"Candid Moments Photography","Photography","South Goa","Professional wedding photography and videography","9876543212","hello@candidmoments.com","https://candidmoments.com",4.9,"75000-200000"
"Bridal Bliss Makeup","Makeup Artists","Margao","Expert bridal makeup and hair styling services","9876543213","bookings@bridalbliss.com","https://bridalbliss.com",4.7,"15000-50000"
"Floral Dreams Decor","Decoration","North Goa","Creative wedding decorations and floral arrangements","9876543214","orders@floraldreams.com","https://floraldreams.com",4.5,"30000-100000"
"Live Music Goa","Entertainment","Panaji","Professional musicians and DJs for weddings","9876543215","gigs@livemusicgoa.com","https://livemusicgoa.com",4.8,"40000-120000"
"Heritage Villa Weddings","Venues","Old Goa","Traditional Portuguese villa for intimate weddings","9876543216","events@heritagevilla.com","https://heritagevilla.com",4.9,"150000-400000"
"Royal Feast Catering","Caterers","Vasco","Premium catering with international cuisine options","9876543217","info@royalfeast.com","https://royalfeast.com",4.7,"80000-250000"
"Golden Hour Studios","Photography","Calangute","Cinematic wedding films and photography","9876543218","shoot@goldenhour.com","https://goldenhour.com",4.8,"100000-300000"
"Elegant Occasions","Decoration","Mapusa","Luxury wedding planning and decoration services","9876543219","plan@elegantoccasions.com","https://elegantoccasions.com",4.6,"50000-200000"
